STORE_CD|PLU_CD|SCAN_CD1|SCAN_CD2|PLU_NM|BRAND_CD|GPLU_CDNRL_PRC|PRC_EVT_PRC|PRC_EVT_ST_DT|PRC_EVT_ED_DT
780|8802196009674|8802196009674|8802196009674|피안 델레 비녜 브루넬로 디 몬탈치노|130219|250000|0||
780|8802196009711|8802196009711|8802196009711|제라르 베르트랑 오렌지골드|138392|41000|0||
780|8802196009728|8802196009728|8802196009728|바바 랑게 네비올로|130219|99000|0||
780|8802196009766|8802196009766|8802196009766|제프 까렐 무스따쉬 슈냉블랑|130219|53000|0||
780|8802196009773|8802196009773|8802196009773|제프 카렐 무스따쉬 로제|138392|26000|0||
780|8802196010007|8802196010007|8802196010007|샤토 레오빌 라스카즈|138392|690000|0||
780|8802196010014|8802196010014|8802196010014|샤또 몽페라|130219|29000|0||
780|8802196010069|8802196010069|8802196010069|샤또 라뚜르|130219|60000|0||
780|8802196010106|8802196010106|8802196010106|샤또 브란 깡뜨냑|138392|200000|0||
780|8802196010236|8802196010236|8802196010236|알마비바|138392|520000|0||
780|8802196010243|8802196010243|8802196010243|비비 그라츠 꼴레로|138392|520000|0||
780|8802196010250|8802196010250|8802196010250|비비 그라츠 테스타마타|138392|190000|0||
780|8802196010366|8802196010366|8802196010366|샤토 라 세르 쌩떼밀리옹 그랑 클뤼 클|138392|104000|0||
780|8802196010373|8802196010373|8802196010373|레디가피|138392|730000|0||
780|8802196010779|8802196010779|8802196010779|카르첼로 씨엔토80|138392|27000|0||
780|8802196010816|8802196010816|8802196010816|달 포르노 로마노 아마로네 2015|130219|800000|0||
780|8802196010823|8802196010823|8802196010823|달 포르노 로마노 발폴리첼라 수페리오|130219|259000|0||
780|8802196011233|8802196011233|8802196011233|비욘디 산티 부르넬로 디 몬탈치노 리|138392|1300000|0||
780|8802196011264|8802196011264|8802196011264|알도 콘테르노 일 파봇 랑게 네비올로|130219|300000|0||
780|8802196011271|8802196011271|8802196011271|알도 콘테르노 바롤로 부시아|130219|400000|0||
780|8802196011288|8802196011288|8802196011288|알도 콘테르노 바롤로 꼴로넬로|130219|600000|0||
780|8802196011295|8802196011295|8802196011295|알도 콘테르노 바롤로 치깔라|130219|600000|0||
780|8802196011301|8802196011301|8802196011301|알도 콘테르노 바롤로 로미라스코|130219|800000|0||
780|8802196011325|8802196011325|8802196011325|킨타 두 노발 빈티지 포트|130219|500000|0||
780|8802196011356|8802196011356|8802196011356|샤또 오존 2014|138392|1900000|0||
780|8802196011455|8802196011455|8802196011455|샤도 보이드 깡뜨냑 2018|138392|140000|0||
780|8802196011523|8802196011523|8802196011523|샤토 깡뜨메를로|138392|75000|0||
780|8802196011714|8802196011714|8802196011714|샤토 꾸데|138392|110000|0||
780|8802196011738|8802196011738|8802196011738|샤또 크로아제 바주 2019|138392|84000|0||
780|8802196011790|8802196011790|8802196011790|샤또 데스미라이 2016|138392|103000|0||
780|8802196011974|8802196011974|8802196011974|샤또 오 바따이에 2015|138392|160000|0||
780|8802196012032|8802196012032|8802196012032|샤토 오브리옹|138392|1900000|0||
780|8802196012063|8802196012063|8802196012063|실버 오크 알렉산더 밸리 까베르네 소|130219|403000|0||
